"","X","CYCLE","STEP","VOLTAGE","CELL"
"12227",792,793,260,1.01098901098901,2
"12229",794,795,260,1.01255886970173,2
"12238",803,804,260,1.01098901098901,2
"12239",804,805,260,1.01883830455259,2
"12245",810,811,260,1.01726844583987,2
"12287",852,853,260,1.01726844583987,2
"12289",854,855,260,1.01726844583987,2
"12296",861,862,260,1.01255886970173,2
"12301",866,867,260,1.01883830455259,2
"12304",869,870,260,1.01255886970173,2
"12311",876,877,260,1.0094191522763,2
"12314",879,880,260,1.0094191522763,2
"12326",891,892,260,1.00784929356358,2
"12341",906,907,260,1.01098901098901,2
"12347",912,913,260,1.00627943485086,2
"12358",923,924,260,1.01098901098901,2
"12367",932,933,260,1.01098901098901,2
"12377",942,943,260,1.00784929356358,2
"12378",943,944,260,1.0094191522763,2
"12386",951,952,260,1.01098901098901,2
"12404",969,970,260,1.00470957613815,2
"12407",972,973,260,1.00313971742543,2
"12424",989,990,260,1.0094191522763,2
"12433",998,999,260,1.00313971742543,2
"12436",1001,1002,260,1,2
"12438",1003,1004,260,1.00313971742543,2
"12449",1014,1015,260,1.00156985871272,2
"12450",1015,1016,260,1.00470957613815,2
"12456",1021,1022,260,1.00156985871272,2
"12465",1030,1031,260,1.00156985871272,2
"12475",1040,1041,260,1,2
"12479",1044,1045,260,0.996860282574568,2
"12498",1063,1064,260,1.00784929356358,2
"12504",1069,1070,260,1,2
"12513",1078,1079,260,1.00156985871272,2
"12529",1094,1095,260,1.00470957613815,2
"12555",1120,1121,260,1.00156985871272,2
"12582",1147,1148,260,1.00156985871272,2
"12583",1148,1149,260,0.996860282574568,2
"12642",1207,1208,260,1.00156985871272,2
"12664",1229,1230,260,1,2
"12692",1257,1258,260,0.996860282574568,2
"12706",1271,1272,260,1.00156985871272,2
"12709",1274,1275,260,0.993720565149137,2
"12716",1281,1282,260,0.998430141287284,2
"12735",1300,1301,260,0.992150706436421,2
"12736",1301,1302,260,0.996860282574568,2
"12746",1311,1312,260,1.00156985871272,2
"12780",1345,1346,260,0.995290423861852,2
"12782",1347,1348,260,0.996860282574568,2
"12786",1351,1352,260,1.00313971742543,2
"12790",1355,1356,260,0.996860282574568,2
"12808",1373,1374,260,0.998430141287284,2
